
Intensity Sum of Square Ch=1 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
948686,,Spot,1,Image 1,1,917,
944982,,Spot,1,Image 1,1,921,
1.04795e+06,,Spot,1,Image 1,1,923,
1.51988e+06,,Spot,1,Image 1,1,933,
1.29267e+06,,Spot,1,Image 1,1,936,
1.4555e+06,,Spot,1,Image 1,1,937,
1.32189e+06,,Spot,1,Image 1,1,939,
1.80074e+06,,Spot,1,Image 1,1,941,
1.59805e+06,,Spot,1,Image 1,1,949,
1.08716e+06,,Spot,1,Image 1,1,952,
1.68263e+06,,Spot,1,Image 1,1,965,
884362,,Spot,1,Image 1,1,978,
1.03259e+06,,Spot,1,Image 1,1,989,
952002,,Spot,1,Image 1,1,994,
1.6382e+06,,Spot,1,Image 1,1,997,
4.9886e+06,,Spot,1,Image 1,1,1010,
3.49007e+06,,Spot,1,Image 1,1,1018,
1.90659e+06,,Spot,1,Image 1,1,1021,
2.86326e+06,,Spot,1,Image 1,1,1033,
1.29381e+06,,Spot,1,Image 1,1,1041,
2.81129e+06,,Spot,1,Image 1,1,1043,
8.6893e+06,,Spot,1,Image 1,1,1048,
4.488e+06,,Spot,1,Image 1,1,1054,
1.57458e+06,,Spot,1,Image 1,1,1064,
1.52184e+06,,Spot,1,Image 1,1,1065,
2.54914e+06,,Spot,1,Image 1,1,1070,
1.6501e+06,,Spot,1,Image 1,1,1073,
2.24035e+06,,Spot,1,Image 1,1,1076,
2.56354e+06,,Spot,1,Image 1,1,1077,
2.58831e+06,,Spot,1,Image 1,1,1085,
2.61228e+06,,Spot,1,Image 1,1,1091,
1.64228e+06,,Spot,1,Image 1,1,1093,
4.27905e+06,,Spot,1,Image 1,1,1094,
1.61459e+06,,Spot,1,Image 1,1,1096,
2.23985e+06,,Spot,1,Image 1,1,1098,
2.25253e+06,,Spot,1,Image 1,1,1101,
3.35361e+06,,Spot,1,Image 1,1,1105,
3.08633e+06,,Spot,1,Image 1,1,1108,
1.92166e+06,,Spot,1,Image 1,1,1109,
1.86953e+06,,Spot,1,Image 1,1,1113,
1.75034e+06,,Spot,1,Image 1,1,1124,
1.61974e+06,,Spot,1,Image 1,1,1132,
1.46656e+06,,Spot,1,Image 1,1,1133,
2.89696e+06,,Spot,1,Image 1,1,1139,
1.23546e+06,,Spot,1,Image 1,1,1146,
1.44861e+06,,Spot,1,Image 1,1,1149,
1.06975e+06,,Spot,1,Image 1,1,1150,
1.16768e+06,,Spot,1,Image 1,1,1153,
1.06284e+06,,Spot,1,Image 1,1,1154,
1.7204e+06,,Spot,1,Image 1,1,1158,
1.78271e+06,,Spot,1,Image 1,1,1165,
2.32716e+06,,Spot,1,Image 1,1,1169,
1.157e+06,,Spot,1,Image 1,1,1180,
1.20497e+06,,Spot,1,Image 1,1,1184,
1.00078e+06,,Spot,1,Image 1,1,1185,
1.56272e+06,,Spot,1,Image 1,1,1189,
2.24403e+06,,Spot,1,Image 1,1,1193,
1.35291e+06,,Spot,1,Image 1,1,1196,
1.29098e+06,,Spot,1,Image 1,1,1198,
1.35113e+06,,Spot,1,Image 1,1,1199,
1.02856e+06,,Spot,1,Image 1,1,1201,
956985,,Spot,1,Image 1,1,1203,
934120,,Spot,1,Image 1,1,1209,
1.81162e+06,,Spot,1,Image 1,1,1210,
1.09938e+06,,Spot,1,Image 1,1,1211,
967667,,Spot,1,Image 1,1,1213,
957871,,Spot,1,Image 1,1,1216,
1.60049e+06,,Spot,1,Image 1,1,1217,
927503,,Spot,1,Image 1,1,1218,
1.122e+06,,Spot,1,Image 1,1,1226,
1.53332e+06,,Spot,1,Image 1,1,1228,
1.31402e+06,,Spot,1,Image 1,1,1229,
1.75227e+06,,Spot,1,Image 1,1,1232,
1.06005e+06,,Spot,1,Image 1,1,1237,
817431,,Spot,1,Image 1,1,1241,
1.17432e+06,,Spot,1,Image 1,1,1242,
1.12776e+06,,Spot,1,Image 1,1,1243,
1.37e+06,,Spot,1,Image 1,1,1246,
1.24194e+06,,Spot,1,Image 1,1,1258,
