LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
ID15137,15137,1,187.0,97.24342811365064,47.35223617053525,0.0,1.0,1,3.835868612354847,1,,362.668449197861,349.0,160.0,1032.0,67819.0,121.19187319382124,-0.1988617488147908,-1.4856279415487093,-0.499384130485645,0.7048412958990335,6.102100249920789,2.930694539106495,-0.6896834615324233,2.0821345140190517,46.2250424818831,34.80293187854957,0.4795738787526829,0.9326683291770572,5.118906205378493
ID15171,15171,1,187.0,95.7704859625941,50.65173785990365,0.0,8.0,8,3.8358686123548456,1,,441.02139037433153,424.0,182.0,884.0,82471.0,131.42727484144996,-0.2600309806878644,-2.358390428091772,0.0916225350268694,0.1659950182719526,4.392161392998522,3.676403302318132,1.8347860082175005,1.1946897638322418,46.225042481883065,33.80856892219367,0.508198767021233,0.8677494199535957,4.972652702212403
ID15125,15125,1,197.0,96.53706693512484,49.91789743786908,0.0,5.0,5,3.9370962576919473,1,,424.0913705583756,400.0,181.0,1093.0,83546.0,142.03952373443042,-0.2046887901446764,-1.5368701618811351,-0.012815319459955,0.4106135977842544,4.498981095316777,3.60704485583348,2.1919895012045267,1.2472761706971336,48.69696988733139,38.7804148502586,0.406899261292852,0.8259958071278822,5.557269792789646
ID15189,15189,1,203.0,95.310013090451,51.55051131222586,0.0,9.0,9,3.996602344614938,1,,418.7635467980296,411.0,186.0,843.0,85009.0,119.16127374124186,-0.2757999848466506,-2.676698383974351,0.5888457636979647,-0.1514642372235321,5.03447878912745,3.6575040827274954,2.490352466538289,1.3764793354306004,50.1801263306003,35.79730818331349,0.4920858455496353,0.8693790149892926,5.053409535048502
ID15175,15175,1,176.0,95.33229231950264,50.02643443236968,0.0,6.0,6,3.721339165818936,1,,385.21590909090907,364.0,155.0,885.0,67798.0,123.43636406677724,-0.2501181976862236,-2.081821866334241,-0.0382040967510584,0.0372284253156848,5.026260728022843,2.7980769349920225,2.216937928728864,1.7963268504756724,43.50592233588998,35.79730966646994,0.4266359686705094,0.8648648648648647,5.427204652121842
ID15162,15162,1,185.0,99.99857294627012,48.39627476071273,0.0,0.0,0,3.815300804003866,1,,377.8918918918919,367.0,168.0,783.0,69910.0,118.4235636308574,-0.1364899431497099,-1.0087712503541066,0.1775720183492175,-0.0179050753647777,5.3066267618210095,2.747377485587097,-0.4808146769002034,1.931524440911336,45.73065700079349,36.79167262282586,0.4245396333529722,0.8767772511848344,5.440587655189369
ID15131,15131,1,106.0,97.9828589190003,46.90426283670567,0.0,3.0,3,2.887991113123117,1,,499.16037735849056,501.0,209.0,955.0,52911.0,150.95487416490386,-0.1832776858903462,-1.4840827970153512,-0.0039747447797534,0.0805528232795942,3.1923123042687496,2.628772498667212,-0.5286639881602818,1.2143737451176366,26.20243049775193,24.859240022419726,0.5328141458373846,0.890756302521008,4.856429166915096
ID15148,15148,1,211.0,95.51125247863492,45.44885245924272,0.0,2.0,2,4.074592181537669,1,,399.5355450236967,369.0,139.0,1085.0,84302.0,149.27795237029548,-0.1301051544398137,-0.8006035181094966,-0.1477254492529396,0.2633687360951483,5.582308943371122,3.149062541272877,2.655635751405648,1.77268913214874,52.157668254958985,35.79730225068771,0.5114785607199549,0.9075268817204294,4.956683797819225
ID15164,15164,1,153.0,96.39528994363654,48.38619229129665,0.0,4.0,4,3.4696737088042515,1,,447.1437908496732,413.0,150.0,957.0,68413.0,149.68631315541592,-0.1575263498092237,-1.117099845276165,-0.0556191519415161,0.1100410874561047,4.345419617721976,2.8573319719394465,2.5862752092244845,1.5207962044299923,37.82048930335892,29.83108595048465,0.5340708573227311,0.8973607038123168,4.850712018387887
ID15149,15149,1,228.0,90.85827659717408,53.80067066094784,0.0,12.0,12,4.235555173609328,1,,471.64912280701753,454.0,226.0,1071.0,107536.0,145.55959056178156,-0.2020071973669156,-1.640499379313752,-0.1283671830908473,0.3258934954103529,5.638903508835081,3.445014353469204,-1.3371791074551065,1.6368301929298446,56.359944844221125,38.78041633341502,0.4709290582668229,0.8854368932038836,5.165676291335713
