LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
ID11539,11539,1,207.0,76.32133912360965,77.85403216826576,0.0,3.0,3,8.07157332157829,1,,3649.700483091788,3952.0,1560.0,4095.0,755488.0,609.3483365785348,0.5484525447571938,4.242899516084132,0.4993895098630802,0.1603359413148476,10.80122971213209,5.819263895015284,0.2700288708091374,1.856116152660528,204.67569093344756,73.58333535817906,0.4750257914261107,0.9059080962800876,5.143353058665919
ID11669,11669,1,204.0,77.20974284008294,80.8707031924794,0.0,0.0,0,8.012870191065518,1,,2480.9656862745096,2418.0,860.0,4095.0,506117.0,768.218266012653,0.5269463298504902,2.228993159545979,0.1980841921997194,-0.1354845979525954,9.744714296483176,6.78136010468469,0.2193680792090783,1.4369852280446431,201.7093765720932,69.60587166749792,0.5231716452963419,0.9107142857142856,4.900978901711391
ID11589,11589,1,243.0,72.50292368714965,72.40500250066123,0.0,6.0,6,8.745329160562845,1,,3612.526748971193,4095.0,868.0,4095.0,877844.0,785.7355678254579,0.5430066564639745,3.235951532867748,0.4628027886771632,0.287415253864961,14.801577458316242,4.987816510507811,0.5614472938891496,2.9675465059979302,240.2714632696993,103.41443564594788,0.2823252522054282,0.7570093457943925,6.671601069405432
ID11557,11557,1,240.0,71.2506032498598,69.63088916731333,0.0,8.0,8,8.69117799494653,1,,3702.975,4095.0,1051.0,4095.0,888714.0,698.7459832894751,0.5175381323445529,3.614632863432085,1.1198566452947896,0.9198997195735026,15.4773695446972,5.278683645257114,0.6281441848909245,2.932050978012972,237.30514890834496,95.4594766238991,0.3272494516856045,0.8362369337979092,6.196771299982536
ID11718,11718,1,207.0,76.88337315416483,76.2447830304628,0.0,4.0,4,8.07157332157829,1,,3632.685990338164,4056.0,1547.0,4095.0,751966.0,651.2245768265892,0.525840780498473,3.844785525469154,0.4899167895765936,0.2687185978610337,11.954428501293345,5.307504740702109,0.3689083403246691,2.252363226285492,204.6756909334475,77.56080695903182,0.4275545094300597,0.892241379310345,5.421371724501362
ID11575,11575,1,199.0,75.76183971373085,77.60097946127429,0.0,2.0,2,7.914064066855052,1,,3044.4924623115576,2979.0,1241.0,4095.0,605854.0,738.9814302374767,0.5469940947879341,2.913435149506062,0.2171724713918034,0.2185154048653473,10.140629038684663,6.12967214257302,0.2199396752988889,1.654350967363156,196.76551930316936,71.59459955775267,0.4823900390789857,0.89237668161435,5.103942420421736
ID11562,11562,1,249.0,71.0673540248755,67.5733580864038,0.0,10.0,10,8.852637827229064,1,,3641.3092369477913,4095.0,1217.0,4095.0,906686.0,700.850212900301,0.5098379872429263,3.5088450630275205,0.6228866295639025,-0.0690444596483356,14.441828324596164,5.839860715270863,0.5260458478009739,2.4729747897636845,246.204091992408,97.44821242432548,0.3258047239585389,0.8097560975609758,6.210495386589465
ID11564,11564,1,214.0,74.03858935512643,73.75079480049489,0.0,5.0,5,8.206914523012072,1,,3638.724299065421,4095.0,1462.0,4095.0,778687.0,676.8926889578091,0.56321405165428,3.873596275572651,0.4759036137040528,0.2835425474779571,13.980537266356542,4.85274446159846,0.4872953472391271,2.880954762194804,211.5970911099409,87.50450178150703,0.3472632010103283,0.8106060606060602,6.015552895090111
ID11516,11516,1,221.0,73.38525091618645,71.32480837194525,0.0,7.0,7,8.340059717438393,1,,3678.434389140272,4095.0,885.0,4095.0,812934.0,725.4816152630889,0.5462619644811645,3.582485882169579,0.2516227509873147,0.2683560505770671,14.442090652971384,5.037867590790218,0.587570181932423,2.866707072526704,218.5184912864344,93.47073291330108,0.3143017226097427,0.8403041825095058,6.323121855589811
ID11533,11533,1,204.0,75.49397077697017,80.10055244180676,0.0,1.0,1,8.01287019106552,1,,2597.524509803922,2508.0,1119.0,4095.0,529895.0,708.6580215552048,0.5215699715167291,2.512890666856512,0.2211780486094229,-0.1854189594372566,10.270167948027805,6.558026625680405,0.0794905446320836,1.5660454789572098,201.7093765720933,67.6171279568999,0.5543990927096496,0.9147982062780274,4.760950614829044
ID11631,11631,1,243.0,70.43643895625391,67.94874344543219,0.0,9.0,9,8.745329160562845,1,,3741.1893004115223,4095.0,1269.0,4095.0,909109.0,639.7779486051439,0.5145379757785982,3.973266343515041,0.1945821095062808,0.2613095425546257,15.167247930993376,5.149875065401475,0.6033122456040088,2.945168132891581,240.27146326969927,97.44822033449712,0.3179539560999676,0.8336192109777016,6.28670114510035
