LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
ID51171,51171,0,252.0,123.6912768429016,98.13201097765372,0.0,9.0,9,5.937200931638203,1,,944.345238095238,894.0,279.0,2472.0,237975.0,348.4039360376927,0.1410834458563695,0.6702493340441155,0.0250323132545281,-0.0592070713304225,6.482391401331585,5.631727481095181,-0.4580840052383735,1.1510484878914946,110.7422559985842,46.40389862457144,0.6462704397749403,0.9438202247191012,4.4095856854831865
ID51204,51204,0,372.0,123.46411095048286,97.65833273742624,0.0,10.0,10,7.213614779680131,1,,913.1774193548388,867.0,200.0,2395.0,339702.0,329.9463335040764,0.1615778623351895,0.7699728016402888,-0.2190128011454903,-0.3882565827961702,8.578462309985987,6.424774807054969,0.7709002970595595,1.3352160297612423,163.47666361695764,60.98798577042183,0.5523025508803417,0.9207920792079206,4.769978345691
ID51172,51172,0,293.0,124.09834801093687,97.24442939491102,0.0,13.0,13,6.401994352728038,1,,942.2525597269624,944.0,216.0,2076.0,276080.0,313.2955479713993,0.1575440751276087,0.8186676638460149,0.0383211044532532,0.0151046825174298,7.271726844343007,5.976063612909395,-1.2415356086029372,1.2168088084997526,128.75984526819514,50.38136670979705,0.637456305005241,0.9436392914653784,4.4399667879205165
ID51174,51174,0,325.0,124.4890720207793,97.8294835487695,0.0,2.0,2,6.742534184974874,1,,1199.8061538461538,1143.0,351.0,2451.0,389937.0,418.5828044240998,0.2690724882504124,1.215465295037271,-0.1513249080309582,-0.0935736143723969,8.562922408852373,5.542896519546081,2.0774179461254323,1.5448461609659652,142.82235396642807,55.68466920885507,0.5788083164744344,0.9339080459770116,4.659481059947431
ID51207,51207,0,307.0,124.6515265701716,97.23212199500436,0.0,3.0,3,6.553158379171731,1,,1353.5407166123778,1267.0,270.0,3742.0,415537.0,538.420949104675,0.335745127747911,1.2637625785049549,0.086711394362613,0.0553477770353762,7.448770491219514,6.008671511130889,1.8867829113425043,1.239670113005992,134.91219282367203,54.358841826277,0.5737473269082677,0.9288956127080176,4.679986436705329
ID51175,51175,0,307.0,124.37081393216624,97.7050135696988,0.0,7.0,7,6.553158379171731,1,,983.2084690553746,925.0,310.0,2327.0,301845.0,366.7342925960827,0.2193213931317401,0.9644659213886068,-0.1079975950193296,-0.022982348157544,6.907042595726223,6.350172435803684,1.7044779398482803,1.0876937068327122,134.91219282367206,55.684672724482255,0.5467511714472878,0.9150521609538004,4.794132919825688
ID51208,51208,0,313.0,123.06473784677937,99.4622051753194,0.0,5.0,5,6.616885891932652,1,,1045.779552715655,983.0,332.0,2522.0,327329.0,376.7605501438162,0.0997535269141508,0.5035442205335162,0.144622589194056,0.0347478733799228,7.359572518416831,6.127870711846847,1.0744755225102076,1.200999966299675,137.54891320459072,53.033021474953244,0.6145741443392352,0.945619335347432,4.521867051797366
ID51177,51177,0,321.0,123.52911326525091,97.99118767417608,0.0,4.0,4,6.700913205873933,1,,1207.3769470404984,1134.0,336.0,2889.0,387568.0,438.3744453568208,0.2240488184122115,1.0082577398858117,-0.1366710801732552,-0.1631014787181484,7.477039695913184,6.373175071178721,0.972929665025088,1.173204817442792,141.064540379149,53.033028506207614,0.6302819425609463,0.9399707174231332,4.465164873492987
ID51210,51210,0,293.0,123.78612244985166,97.77159144439835,0.0,12.0,12,6.40199435272804,1,,948.2969283276452,900.0,146.0,2197.0,277851.0,329.894790032417,0.2239576537071802,1.0519579962182932,0.0080848988458545,-0.0786200640723964,7.010676796038103,5.892004464540139,-0.907297066066298,1.1898627772993846,128.7598452681952,54.35884885753134,0.5475828120357735,0.9199372056514914,4.790490995356374
ID51148,51148,0,299.0,122.69667755728103,98.58099066907263,0.0,8.0,8,6.467211598263226,1,,983.3979933110368,950.0,269.0,2679.0,294036.0,364.63814755683177,0.1524299028311414,0.7134324614152685,0.1214980382108755,-0.0528509718409645,7.089634518745972,6.120139897502543,1.348606907712604,1.1584105326806422,131.3965656491138,51.70719409237515,0.6175781689816646,0.9343750000000002,4.510856009293786
ID51152,51152,0,359.0,122.60025520736704,98.48212297505974,0.0,14.0,14,7.086449569438663,1,,954.9387186629526,888.0,172.0,2165.0,342823.0,377.46406337443005,0.1559228041532372,0.6825126299024045,0.1880159480990843,-0.1501426850799971,8.830804803085892,6.292273611519472,0.4905690645041163,1.403436237565869,157.7637694583005,59.66215838784373,0.5569538584011584,0.8997493734335839,4.750018745573912
ID51155,51155,0,316.0,122.28449993332217,97.3452609147525,0.0,16.0,16,6.648520586493791,1,,735.3291139240506,720.0,226.0,1698.0,232364.0,253.7378710661469,0.1373761750512725,0.7000575742638825,0.0536192664400031,-0.0237219937571453,8.883695014091417,5.005252950452165,2.189347222599193,1.7748743374276184,138.8672733950501,58.33632397401129,0.5127806808820211,0.9146164978292334,4.950386465744782
ID51189,51189,0,282.0,122.64138364624596,98.05689886901494,0.0,15.0,15,6.2806708021029936,1,,789.5531914893617,740.0,237.0,1997.0,222654.0,291.5641930266105,0.0941522703139199,0.4660475536607076,-0.0745771233591113,-0.516219762061408,7.203640834995327,6.009395413074815,1.263391575074067,1.1987297123637692,123.92585790317756,50.38137374105139,0.6135243270850169,0.9431438127090302,4.525734139737121
ID51158,51158,0,340.0,122.52204811942548,97.23748219496731,0.0,17.0,17,6.896376051697481,1,,857.7705882352941,823.0,267.0,2016.0,291642.0,296.30096169158486,0.1511614815983449,0.7602789669056967,-0.1777672846512218,-0.2164808849930511,7.638610261390021,6.540407334078169,1.9237924103421615,1.1679104788458312,149.41415491872473,55.6846692088551,0.6055225464655614,0.9302325581395348,4.555539038971864
ID51163,51163,0,305.0,125.31676950378012,97.21983863723796,0.0,1.0,1,6.531777707566226,1,,1388.4295081967214,1352.0,304.0,3370.0,423471.0,525.6598570469431,0.3760912390744732,1.4437599991069452,-0.0173343964496153,0.0021007874464268,7.78231032435689,5.666463699663356,2.3279110288915543,1.373398072737894,134.03328603003249,53.033021474953244,0.5988661789887115,0.9327217125382266,4.580786370848754
ID51195,51195,0,300.0,123.8742620665744,97.2712777052981,0.0,6.0,6,6.4780173060462864,1,,1076.8233333333333,1017.0,307.0,2713.0,323047.0,396.1804748905529,0.2214919987992392,0.9857091791014256,0.0486512085599144,-0.0786879098102174,7.413987134696317,5.870615333058318,1.7089187181202243,1.262897790789841,131.8360190459336,54.358841826277,0.5606651403012388,0.921658986175115,4.734271441893312
ID51197,51197,0,339.0,122.33397526062372,98.40233452630852,0.0,11.0,11,6.886226854069052,1,,954.9144542772862,900.0,181.0,2813.0,323716.0,377.07833740740807,0.1438706153290095,0.6370273472107688,0.1816819217710922,-0.115179673586826,7.931753312548702,6.238307248942946,2.060415672697571,1.271459227003079,148.97470152190493,59.662147840962206,0.5259259742381804,0.9137466307277629,4.888128587292631
ID51166,51166,0,335.0,125.59740891377945,97.8082033907218,0.0,0.0,0,6.845479591876863,1,,1395.6358208955223,1325.0,375.0,3223.0,467538.0,552.3357034014224,0.3584471232058513,1.3334641581336155,-0.1033887163524691,-0.0880935952465142,7.010096097883337,6.718123526556368,2.9096454874820434,1.043460435071314,147.21688793462587,55.68467624010944,0.5966176524664006,0.9463276836158192,4.589410263552519
ID51202,51202,1,244.0,115.971859944117,123.62492503661538,0.0,11.0,11,5.84219958721433,1,,515.4918032786885,470.0,193.0,1324.0,125780.0,237.8817095774017,-0.1665249199150646,-0.8659191070853047,-0.2108710143300199,0.0258268343102701,7.242347394517062,5.116407462285528,2.5572454278495718,1.4155141958302644,107.22662882402602,50.38137374105142,0.53085083620122,0.9138576779026216,4.865401437454325
ID51203,51203,1,236.0,116.06045718932532,124.23699960036438,0.0,6.0,6,5.745627653359468,1,,550.292372881356,529.0,149.0,1357.0,129869.0,191.30055250413685,-0.174836160409955,-1.218984931553353,-0.2115793814976673,-0.0659618888531304,8.647404075903319,4.01784534668102,2.886938482415274,2.1522491110929867,103.7110016494678,50.38139131918726,0.5134455324681252,0.9111969111969112,4.947180343353596
ID51214,51214,1,331.0,115.67343222894677,122.71280963114256,0.0,10.0,10,6.804488327560235,1,,620.3474320241692,551.0,63.0,1882.0,205335.0,317.733817723584,-0.0919800374482603,-0.3955484882185279,0.1319812636593203,-0.0985629544211022,9.226302155389464,4.98569255794478,2.666481539401926,1.8505557749819943,145.45907434734673,64.9654714337833,0.4330973185680001,0.8631029986962186,5.386568469043406
ID51151,51151,1,279.0,115.55132127157438,125.32124379652352,0.0,8.0,8,6.247173652317882,1,,581.4086021505376,539.0,179.0,1663.0,162213.0,249.97241156664043,-0.0999649048813529,-0.5166631429690908,-0.0639485586027511,0.2306697773710713,8.644208511517794,4.939729054032166,2.754800897021748,1.7499357590193665,122.60749771271828,57.01051416956906,0.474042169818617,0.8899521531100478,5.148686436023526
ID51183,51183,1,332.0,118.124430912558,122.38712063387148,0.0,9.0,9,6.814759259183575,1,,524.5963855421687,480.0,143.0,1690.0,174166.0,225.72581766450668,-0.1121080811813843,-0.5868821097142101,0.1222815625070345,-0.1269103152255141,10.240558479418588,4.848035974790578,-0.2808958425115808,2.1123107445300984,145.8985277441665,63.63965108245952,0.4526944746382167,0.8985115020297704,5.268686225848988
ID51218,51218,1,317.0,118.418970336357,122.44213443823958,0.0,3.0,3,6.6590320880557785,1,,808.1514195583596,719.0,215.0,2674.0,256184.0,375.84813259042886,0.0112577428045234,0.0478740095018929,0.0750849134109136,-0.2794720964550406,8.550292994511594,5.449438965762915,2.6879417626475943,1.5690226183338056,139.3067267918698,55.68468678699094,0.564560370713062,0.9337260677466866,4.717910926528112
ID51186,51186,1,201.0,114.31138577153403,123.59514779598412,0.0,13.0,13,5.302485691228366,1,,546.3233830845771,517.0,119.0,1416.0,109811.0,227.9241099587701,-0.1956157079600099,-1.1658150614549865,-0.5280376163375577,0.013179658275309,6.904103118211672,4.490264840206147,-0.2248377837688884,1.5375714715960285,88.33013276077548,43.75225089066959,0.5798530497256119,0.9262672811059912,4.655281625770013
ID51154,51154,1,262.0,113.56318780964315,125.5003618790708,0.0,14.0,14,6.053856498951176,1,,526.3435114503817,502.0,80.0,1419.0,137902.0,198.2235771259782,-0.2295807217982758,-1.5825310338806156,0.0249631948716889,-0.3764241767829624,8.957487055366514,4.607181183102805,2.7435708626438573,1.944244582396454,115.136789966782,54.35886643566724,0.4896471125159025,0.8972602739726026,5.065978392745273
ID51219,51219,1,288.0,116.72805247448062,123.7573715807009,0.0,5.0,5,6.347134777892916,1,,644.3819444444445,571.0,207.0,2524.0,185582.0,333.74559980192515,-0.0177786977550071,-0.0698953699868959,0.0682762909344631,0.0323371676035797,8.415524836996914,4.922265250492522,-0.1460645863978798,1.7096853600392332,126.56257828409618,55.68469381824531,0.5129127624742387,0.927536231884058,4.949749030810668
ID51188,51188,1,294.0,115.73255453330972,123.93972873246834,0.0,7.0,7,6.412909952048796,1,,605.2006802721088,542.0,151.0,2229.0,177929.0,271.11512333679343,-0.0568380922109787,-0.2690474617228562,-0.1836458337304395,0.0369871028139584,8.581317535696437,5.04352318690489,-0.3215796760262331,1.7014529759627457,129.19929866501496,55.684686786990994,0.5235985772543847,0.9004594180704438,4.898980413455312
ID51220,51220,1,281.0,115.14645679048986,124.31132178845688,0.0,12.0,12,6.269524971133322,1,,513.0711743772242,485.0,132.0,998.0,144173.0,184.57823134796928,-0.1174405783409511,-0.7397779061766009,-0.1436808650686405,0.1998640887684703,9.100448079195496,4.534809909833119,3.0908596033974245,2.006798137108771,123.4864045063578,59.6621759659796,0.4359441281054579,0.8753894080996881,5.3689519328470325
ID51157,51157,1,269.0,117.59941021677538,124.70630290554456,0.0,16.0,16,6.134195549130047,1,,545.903345724907,506.0,165.0,1312.0,146848.0,204.0941899817012,-0.1464690385828548,-0.9179978441891294,-1.0260268045804273,0.6001165136128154,10.60407680613906,4.770457921356357,-0.2826152920325432,2.222863503033282,118.21296374452048,76.89790733010466,0.2512152081403274,0.6810126582278483,7.072646765951009
ID51190,51190,1,283.0,117.03354715259265,123.955161779934,0.0,4.0,4,6.291796888418592,1,,680.583038869258,633.0,232.0,2377.0,192605.0,287.29221784570524,-0.0624426545046142,-0.3155518797789021,-0.0919562991058301,-0.2684949484603142,9.2481482219776,4.724761504630743,2.8325479779312044,1.9573788460885235,124.3653112999974,55.68469381824531,0.504008027014617,0.9143780290791595,4.993283281780661
ID51191,51191,1,351.0,117.2337366364255,122.85023514751708,0.0,2.0,2,7.007047068087895,1,,899.7321937321938,790.0,276.0,3042.0,315806.0,452.2990756006183,0.1010498252824286,0.365128851069999,0.2790269365950097,-0.1940156268375517,9.364380499512125,5.278997340169963,-0.5977618323841722,1.7738937711248453,154.24814228374234,63.63963701995087,0.4786019000623622,0.9105058365758752,5.1241014879059845
