LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
ID15265,15265,0,364.0,83.49147349985697,81.83572839450395,0.0,0.0,0,5.351709511326918,1,,919.0164835164836,807.0,275.0,2368.0,334522.0,414.69660954058907,-0.086793515621151,-0.4212511557445498,-0.0246384324460989,0.5763326386735101,6.325152645320212,5.362394252667759,1.0764549158908547,1.179538905065305,89.97771020247211,57.67329174050357,0.3399345609807495,0.7353535353535354,6.080051688163328
ID15281,15281,0,287.0,82.343791637573,82.78871745380214,0.0,1.0,1,4.752069554088851,1,,937.8850174216028,806.0,170.0,2904.0,269173.0,496.4750192857013,-0.1324163515900364,-0.5766502067410811,-0.216173318588989,-0.0015712618706624,5.3728418106285085,4.424367574679852,1.7395424808702435,1.214375098799807,70.94396381348763,43.75214805884676,0.4657217855610346,0.8723404255319153,5.194474935957343
ID15335,15335,0,244.0,81.75220121892269,84.66980869297501,0.0,4.0,4,4.381640613395712,1,,851.188524590164,766.0,243.0,2326.0,207690.0,329.58116161272824,-0.1961116659581439,-1.260088587783043,-0.0365370830353906,-0.0229519429636875,5.434920081859499,3.8038403441313617,2.4079800525229187,1.42879815927201,60.314728817041726,42.75778955190856,0.4145746595086823,0.8215488215488217,5.505586059925282
ID15323,15323,0,195.0,80.10533783083757,84.91880757686494,0.0,3.0,3,3.9170502768774735,1,,862.374358974359,785.0,405.0,2229.0,168163.0,336.028592240402,-0.4178186515269449,-3.6836565687143294,-0.1236259870749646,-0.1703904484228922,4.619793481138086,3.4175570918025326,1.1366818108425414,1.3517823863774736,48.20234475132437,34.802845361417326,0.5000904083233831,0.888382687927107,5.012803370598452
ID15357,15357,0,339.0,81.5734477952243,82.41940114189534,0.0,2.0,2,5.164659441433459,1,,857.4188790560472,816.0,161.0,2282.0,290665.0,344.9887251359515,-0.1475559160807486,-0.8604167599096719,-0.1791152053767847,0.0968852623885178,6.185726398526332,4.576995874848989,1.9265137145500315,1.351481750839555,83.79792241384075,51.70707840661336,0.3938611241846215,0.874838709677419,5.648503132396563
ID15328,15328,1,195.0,69.74860340252167,87.28488736523244,0.0,3.0,3,3.917050276877475,1,,620.5897435897435,599.0,259.0,1316.0,121015.0,197.9646586636888,-0.166247431882793,-1.2501573674346416,-0.0286469796803664,-0.0224115351292038,4.27983412213712,3.608771224951761,0.3518442251695741,1.1859532941699094,48.202344751324375,33.8084903151603,0.5299397202575371,0.8944954128440361,4.869582140389077
ID15364,15364,1,203.0,69.53969424841696,82.31190471508465,0.0,9.0,9,3.996592409394588,1,,434.6551724137931,428.0,181.0,908.0,88235.0,128.10777992600268,-0.5006687087206576,-6.80394837046925,0.446757093684261,0.0527014088303235,5.3775051939537,3.480892349255049,0.304711036315914,1.5448639757861369,50.17987684368635,36.79158660006185,0.4658460545577391,0.8903508771929827,5.193782051218599
ID15380,15380,1,401.0,68.78007449796823,82.67615397747646,0.0,11.0,11,5.617124198745568,1,,487.3740648379052,463.0,160.0,1318.0,195437.0,170.33174902432543,-0.2575937447262916,-1.9855941965213528,-0.5927500995617381,0.3716700328999516,8.544913697803098,4.311686238710903,1.0295661685429771,1.9818032260988072,99.12379612964648,65.62822554895133,0.2892054453182435,0.714158504007124,6.591764741415187
ID15269,15269,1,209.0,68.90881245725559,87.21155733714336,0.0,0.0,0,4.055225258634082,1,,567.8421052631579,547.0,240.0,1009.0,118679.0,176.41970538857817,-0.1085511446433148,-0.7838779911468863,0.0863752328723453,-0.1985759830165762,4.977608977307764,3.5591108972516907,-0.1057219228520071,1.3985540549330515,51.66302591295789,34.80285920414197,0.5359939086948651,0.8969957081545061,4.84200245075161
ID15365,15365,1,198.0,67.42122391201704,87.78539235703764,0.0,2.0,2,3.947066426765909,1,,583.6666666666666,548.0,204.0,1420.0,115566.0,212.025594662244,-0.1509299406218453,-0.9786749483151844,0.1807543982950056,0.0585617584358635,5.2700306090832685,2.9976371493387437,0.3040643997781517,1.758061548658682,48.9439192859601,36.79159698210535,0.4543717573710227,0.8761061946902653,5.258952734777975
